,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
8082872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082872,,,,,,,32767.0,14587.0,96.0,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082964,,,,,,,,,,,,,,,,,,,,,,0.013533889316022396,0.00010736007243394852,,,,,,,,,,,-0.03742026537656784,0.0005000531673431396,,,,,,,,,,,,,,,,-1.5157499313354492,0.000256136991083622,,,,,
8082964,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082964,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
8082964,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082964,,,,0.21690770983695984,,,,,,,,,,,,,,,-86.0,0.7753866910934448,-2.1439857482910156,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
8082964,,0.0,-0.20999999344348907,,,,,,,0.00030460560810752213,,,,0.019893869757652283,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3787999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
8082969,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8082969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,-27,0,1,,,46,0,-1024,-34,0
8082972,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.0,3172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8082972,,,,,,,32767.0,14584.0,96.0,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8083064,,,,,,,,,,,,,,,,,,,,,,0.013518006540834904,1.1962838470935822e-06,,,,,,,,,,,-0.03740333765745163,-0.0002854876220226288,,,,,,,,,,,,,,,,-1.5156394243240356,0.00026970915496349335,,,,,
8083064,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8083064,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
8083064,4798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8083064,,,,0.21680490672588348,,,,,,,,,,,,,,,-86.0,0.7746857404708862,-2.142683506011963,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
8083064,,0.0,-0.20999999344348907,,,,,,,0.0003476706915535033,,,,0.01912788860499859,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
