3112665,,,,,,,,,,,,,,,,,,,,,,0.003706925781443715,0.0005910207983106375,,,,,,,,,,,-0.034156911075115204,0.0007110759615898132,,,,,,,,,,,,,,,,-0.2824087142944336,-0.00013134721666574478,,,,,
3112665,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112665,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,STANDBY,,,,,,,,,,,,,
3112665,4793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112665,,,,0.0,,,,,,,,,,,,,,,-16.0,0.21233685314655304,-1.9571020603179932,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3112665,,0.0,-0.20999999344348907,,,,,,,0.0017896934878081083,,,,0.005565820727497339,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3112669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
3112671,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
3112671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,-25,0,15,,,36,0,-1017,-32,0
3112671,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.199951171875,2809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112671,,,,,,,32767.0,14326.0,98.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113665,,,,,,,,,,,,,,,,,,,,,,0.0036413613706827164,-0.0003343401476740837,,,,,,,,,,,-0.034204188734292984,-5.626678466796875e-05,,,,,,,,,,,,,,,,-0.2822795510292053,-0.000993506982922554,,,,,
3113666,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113666,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,STANDBY,,,,,,,,,,,,,
3113666,4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113666,,,,0.0,,,,,,,,,,,,,,,-16.0,0.20860989391803741,-1.9597123861312866,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3113666,,0.0,-0.20999999344348907,,,,,,,-9.63864877121523e-05,,,,0.0071123563684523106,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3113669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
3113671,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
3113671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,-26,0,3,,,39,0,-1007,-31,0
3113671,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.2999267578125,2809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113671,,,,,,,32767.0,14326.0,98.0,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114665,,,,,,,,,,,,,,,,,,,,,,0.003662128234282136,0.00038260500878095627,,,,,,,,,,,-0.03417360410094261,-3.534555435180664e-05,,,,,,,,,,,,,,,,-0.28217649459838867,-0.0003715706989169121,,,,,
3114665,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114665,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,STANDBY,,,,,,,,,,,,,
3114665,4790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114665,,,,0.0,,,,,,,,,,,,,,,-16.0,0.2101021558046341,-1.9583628177642822,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3114665,,0.0,-0.20999999344348907,,,,,,,-0.003124829614534974,,,,0.006161820609122515,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3114671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
3114671,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
3114673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,-27,0,14,,,43,0,-1009,-31,0
3114675,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.2999267578125,2809.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
