,Vcc,airspeed,alt,alt_error,altgps,armed,climb,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
1279598,,,,,,,,,,,,,,,,,,0.005733642261475325,0.0005159457214176655,,,,,,,,,,,0.002804819494485855,0.0006800269475206733,,,,,,,,,,,,,,,,0.28825435042381287,-0.001873225555755198,,,,,
1279598,,0.0,0.0,,,,-0.0008743262151256204,,,0.2531578540802002,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1280598,,,,,,,,,,,,,,,,,,0.005862083286046982,-0.0007301229052245617,,,,,,,,,,,0.0028559155762195587,0.0003846638719551265,,,,,,,,,,,,,,,,0.28643813729286194,-0.001144674955867231,,,,,
1280598,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280598,,0.0,0.0,,,,-0.0034763661678880453,,,0.25576090812683105,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1280601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
1281598,,,,,,,,,,,,,,,,,,0.005955238360911608,-0.00042825425043702126,,,,,,,,,,,0.0027999989688396454,0.00024158484302461147,,,,,,,,,,,,,,,,0.2844710350036621,-0.0012509791413322091,,,,,
1281598,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1281598,,0.0,0.0,,,,-0.0018998815212398767,,,0.25136542320251465,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1281601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
1282598,,,,,,,,,,,,,,,,,,0.006065987516194582,0.00015293294563889503,,,,,,,,,,,0.0027352944016456604,9.42903570830822e-05,,,,,,,,,,,,,,,,0.282785028219223,-0.002094450406730175,,,,,
