,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
358653,,,,,,,,,,,,,,,,,,,,,,0.17227724194526672,-0.004443406127393246,,,,,,,,,,,0.04091302677989006,0.0011115861125290394,,,,,,,,,,,,,,,,-0.5553281307220459,-0.001032988540828228,,,,,
358653,,,,,-60,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358653,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
358653,4695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358653,,,,-0.002705635968595743,,,,,,,,,,,,,,,-33.0,10.344666481018066,2.0460269451141357,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
358653,,0.0,-0.05999999865889549,,,,,,,0.0005201976746320724,,,,0.9088656902313232,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
358655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
358658,,,,,,,,,,,,0.0,,,,,,,,,,,,972.3999633789062,1386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358658,,,,,,,32767.0,15117.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359653,,,,,,,,,,,,,,,,,,,,,,0.16940747201442719,-0.00404222309589386,,,,,,,,,,,0.04066300392150879,0.0005874820053577423,,,,,,,,,,,,,,,,-0.558451235294342,-0.0016059819608926773,,,,,
359653,,,,,-50,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359653,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
