,Vcc,airspeed,alt,alt_error,altgps,armed,climb,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
1797631,,,,,,,,,,,,,,,,,,0.00841112807393074,0.00031953537836670876,,,,,,,,,,,-0.003378015011548996,-0.0009609800763428211,,,,,,,,,,,,,,,,0.5125490427017212,-0.027785232290625572,,,,,
1797631,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797631,,0.0,0.0,,,,-0.0005940109840594232,,,0.07914809137582779,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1797634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
1798631,,,,,,,,,,,,,,,,,,0.00742675643414259,-0.0021806429140269756,,,,,,,,,,,-0.0034802034497261047,0.002665237057954073,,,,,,,,,,,,,,,,0.48825398087501526,-0.02675943821668625,,,,,
1798631,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798631,,0.0,0.0,,,,0.002262764610350132,,,0.09127762913703918,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1798634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
1799629,,,,,,,,,,,,,,,,,,0.007471197750419378,0.002886283677071333,,,,,,,,,,,-0.0038819648325443268,0.0005635381676256657,,,,,,,,,,,,,,,,0.4642772674560547,-0.02801472507417202,,,,,
1799629,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799629,,0.0,0.009999999776482582,,,,0.0007180640823207796,,,0.10593414306640625,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
1799631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
1800631,,,,,,,,,,,,,,,,,,0.007557670585811138,-0.00562730198726058,,,,,,,,,,,-0.003950115293264389,0.01019540149718523,,,,,,,,,,,,,,,,0.5089322328567505,0.15861231088638306,,,,,
1800631,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800631,,0.0,0.0,,,,-0.0024063927121460438,,,0.11389774829149246,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1800634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529,1471,1471,1529,1450,1450,1450,1450,,,,,,,,,,,,,,
1801631,,,,,,,,,,,,,,,,,,0.008393621072173119,-0.004905118606984615,,,,,,,,,,,-0.0014891289174556732,-0.011100629344582558,,,,,,,,,,,,,,,,0.728623628616333,0.2520827353000641,,,,,
1801631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801631,,0.0,0.009999999776482582,,,,-0.002921807114034891,,,0.11329423636198044,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1801634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527,1473,1473,1527,1450,1450,1450,1450,,,,,,,,,,,,,,
1802629,,,,,,,,,,,,,,,,,,0.008979305624961853,-0.009598111733794212,,,,,,,,,,,-0.0012592077255249023,0.0008624944603070617,,,,,,,,,,,,,,,,0.9631555080413818,0.2206287682056427,,,,,
1802629,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802629,,0.0,0.0,,,,-0.0010757845593616366,,,0.0925869420170784,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1802631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,1480,1480,1520,1450,1450,1450,1450,,,,,,,,,,,,,,
1803631,,,,,,,,,,,,,,,,,,0.00831528939306736,-0.00811886228621006,,,,,,,,,,,0.00046527013182640076,0.0014689519302919507,,,,,,,,,,,,,,,,1.1638487577438354,0.17809095978736877,,,,,
1803631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803631,,0.0,0.009999999776482582,,,,-0.00297800125554204,,,0.06647013872861862,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1803634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513,1487,1487,1513,1450,1450,1450,1450,,,,,,,,,,,,,,
1804631,,,,,,,,,,,,,,,,,,0.008557833731174469,-0.005494280252605677,,,,,,,,,,,0.004049681127071381,0.003208181355148554,,,,,,,,,,,,,,,,1.3368792533874512,0.17123927175998688,,,,,
1804631,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804631,,0.0,0.0,,,,-0.0012364465510472655,,,0.07453933358192444,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1804634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1513,1487,1487,1513,1450,1450,1450,1450,,,,,,,,,,,,,,
1805631,,,,,,,,,,,,,,,,,,0.009707129560410976,-0.007467163726687431,,,,,,,,,,,0.004513602703809738,0.008463796228170395,,,,,,,,,,,,,,,,1.4625524282455444,0.088144451379776,,,,,
1805631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805631,,0.0,0.009999999776482582,,,,-0.002260030247271061,,,0.12726697325706482,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1805634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,1497,1497,1503,1450,1450,1450,1450,,,,,,,,,,,,,,
1806631,,,,,,,,,,,,,,,,,,0.010118365287780762,-0.004122537095099688,,,,,,,,,,,0.0059783123433589935,0.013222395442426205,,,,,,,,,,,,,,,,1.5349864959716797,0.06231311336159706,,,,,
1806631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806631,,0.0,0.009999999776482582,,,,-0.002682999474927783,,,0.18921300768852234,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1806634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1503,1497,1497,1503,1450,1450,1450,1450,,,,,,,,,,,,,,
1807631,,,,,,,,,,,,,,,,,,0.009927159175276756,-0.002773233223706484,,,,,,,,,,,0.006751593202352524,0.009838510304689407,,,,,,,,,,,,,,,,1.5830215215682983,0.038317929953336716,,,,,
1807631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807631,,0.0,0.009999999776482582,,,,-0.0028148493729531765,,,0.24812434613704681,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1807634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502,1498,1498,1502,1450,1450,1450,1450,,,,,,,,,,,,,,
1808631,,,,,,,,,,,,,,,,,,0.01012936607003212,-0.0016031041741371155,,,,,,,,,,,0.007020339369773865,0.009208847768604755,,,,,,,,,,,,,,,,1.611649513244629,0.02254226803779602,,,,,
1808631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808631,,0.0,0.009999999776482582,,,,-0.002731058979406953,,,0.29984191060066223,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,
1809631,,,,,,,,,,,,,,,,,,0.00964327435940504,-0.004205792210996151,,,,,,,,,,,0.006722483783960342,0.007818165235221386,,,,,,,,,,,,,,,,1.6273658275604248,0.012083539739251137,,,,,
1809631,,,,,10,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
