8798431:main.py 39, __init__ > main.py 12, main > main.py 82, <module> : Connection Success
8798431:main.py 43, test > main.py 14, main > main.py 82, <module> : performing test
8798431:send_messages.py 89, setmode > main.py 44, test > main.py 14, main > main.py 82, <module> : change mode to ALT_HOLD
8798431:send_messages.py 81, arm > main.py 45, test > main.py 14, main > main.py 82, <module> : vehicle arm
8799436:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep 0
8800436:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep -1
8801363:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep -2
8802554:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep -3
8803360:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep -4
8804560:send_messages.py 85, disarm > main.py 50, test > main.py 14, main > main.py 82, <module> : vehicle disarm
8805360:send_messages.py 89, setmode > main.py 51, test > main.py 14, main > main.py 82, <module> : change mode to MANUAL
