8071617:main.py 39, __init__ > main.py 12, main > main.py 82, <module> : Connection Success
8071617:main.py 43, test > main.py 14, main > main.py 82, <module> : performing test
8071617:send_messages.py 89, setmode > main.py 44, test > main.py 14, main > main.py 82, <module> : change mode to ALT_HOLD
8071617:send_messages.py 81, arm > main.py 45, test > main.py 14, main > main.py 82, <module> : vehicle arm
8071617:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep 0
8072618:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep 1
8073618:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep 2
8074618:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep 3
8075619:send_messages.py 46, goto_deep > main.py 48, test > main.py 14, main > main.py 82, <module> : asked to go to deep 4
8076619:send_messages.py 85, disarm > main.py 50, test > main.py 14, main > main.py 82, <module> : vehicle disarm
8077252:send_messages.py 89, setmode > main.py 51, test > main.py 14, main > main.py 82, <module> : change mode to MANUAL
