,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
4392652,,,,,,,,,,,,,,,,,,,,,,0.2713069021701813,0.00043050386011600494,,,,,,,,,,,-0.033519197255373,0.0003431236546020955,,,,,,,,,,,,,,,,2.192600727081299,-0.0004519848444033414,,,,,
4392652,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392652,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4392652,4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392652,,,,1.194522500038147,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4392652,,0.0,-1.1999999284744263,,,,,,,0.008439737372100353,,,,0.1140340119600296,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
97687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4392657,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.5,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392657,,,,,,,32767.0,15325.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393652,,,,,,,,,,,,,,,,,,,,,,0.271378755569458,-0.0008619697764515877,,,,,,,,,,,-0.03342412784695625,-0.0006622045184485614,,,,,,,,,,,,,,,,2.192692756652832,-0.00039314059540629387,,,,,
4393652,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393652,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4393652,4745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393652,,,,1.1927286386489868,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4393652,,0.0,-1.1999999284744263,,,,,,,0.010750350542366505,,,,0.11732572317123413,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
98687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4393657,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.4000244140625,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393657,,,,,,,32767.0,15323.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394129,,,,,,,,,,,,,,,,,,,,,,0.2712930142879486,-0.0009538456797599792,,,,,,,,,,,-0.033353548496961594,-0.0004664422885980457,,,,,,,,,,,,,,,,2.1927051544189453,-0.0006154072470963001,,,,,
4394129,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394129,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4394129,4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394129,,,,1.191047191619873,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4394129,,0.0,-1.1999999284744263,,,,,,,0.01248899381607771,,,,0.11652509868144989,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
99165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4394134,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.4000244140625,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394134,,,,,,,32767.0,15313.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394529,,,,,,,,,,,,,,,,,,,,,,0.27122581005096436,-0.0009033284150063992,,,,,,,,,,,-0.03339821472764015,-0.000713074579834938,,,,,,,,,,,,,,,,2.1926658153533936,6.0395424952730536e-05,,,,,
4394529,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394529,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4394529,4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394529,,,,1.1912567615509033,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4394529,,0.0,-1.1999999284744263,,,,,,,0.010228312574326992,,,,0.11620534956455231,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
99565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4394534,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.4000244140625,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394534,,,,,,,32767.0,15317.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394929,,,,,,,,,,,,,,,,,,,,,,0.27120333909988403,-4.204036667943001e-05,,,,,,,,,,,-0.03338519111275673,0.0004055177851114422,,,,,,,,,,,,,,,,2.1926655769348145,0.000368915731087327,,,,,
4394929,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394929,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4394929,4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394929,,,,1.1915479898452759,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4394929,,0.0,-1.1999999284744263,,,,,,,0.009734694845974445,,,,0.11485632508993149,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
99965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4394934,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.4000244140625,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394934,,,,,,,32767.0,15314.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395329,,,,,,,,,,,,,,,,,,,,,,0.27111321687698364,-0.0005166269838809967,,,,,,,,,,,-0.03343544527888298,-0.00017453734471928328,,,,,,,,,,,,,,,,2.1927244663238525,0.00040625128895044327,,,,,
4395329,,,,,-1190,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395329,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4395329,4743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395329,,,,1.1917403936386108,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4395329,,0.0,-1.1899999380111694,,,,,,,0.010040243156254292,,,,0.1135580986738205,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
100365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4395334,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.0999755859375,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395334,,,,,,,32767.0,15307.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395729,,,,,,,,,,,,,,,,,,,,,,0.2710269093513489,-0.0008983812294900417,,,,,,,,,,,-0.03352087363600731,-0.0003336416557431221,,,,,,,,,,,,,,,,2.192821979522705,0.00015327410073950887,,,,,
4395729,,,,,-1190,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395729,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4395729,4738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395729,,,,1.191964030265808,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4395729,,0.0,-1.1899999380111694,,,,,,,0.009396921843290329,,,,0.11247891187667847,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
100765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4395734,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.2999267578125,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395734,,,,,,,32767.0,15321.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396129,,,,,,,,,,,,,,,,,,,,,,0.27101147174835205,5.1131471991539e-05,,,,,,,,,,,-0.033559758216142654,6.1908503994345665e-06,,,,,,,,,,,,,,,,2.1929290294647217,2.0948471501469612e-05,,,,,
4396129,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396129,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4396129,4737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396129,,,,1.1927146911621094,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4396129,,0.0,-1.1999999284744263,,,,,,,0.009153551422059536,,,,0.11217812448740005,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
101165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1499,1499,1499,1499,,,,,,,,,,,,,,
4396134,,,,,,,,,,,,0.0,,,,,,,,,,,,1071.4000244140625,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396134,,,,,,,32767.0,15312.0,100.0,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396527,,,,,,,,,,,,,,,,,,,,,,0.27101945877075195,0.00016550859436392784,,,,,,,,,,,-0.033562276512384415,0.00016687826428096741,,,,,,,,,,,,,,,,2.193110466003418,0.0009383686119690537,,,,,
4396527,,,,,-1200,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396527,,,,,,1,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVE,,,,,,,,,,,,,
4396527,4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396527,,,,1.1931860446929932,,,,,,,,,,,,,,,130.0,1.3574413969763555e-05,-5.74350178528249e-10,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
4396527,,0.0,-1.1999999284744263,,,,,,,0.008616876788437366,,,,0.11053966730833054,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
