,Vcc,airspeed,alt,alt_error,altgps,armed,climb,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
3229.641862,,,-0.06,,,,,,,,11.0,,,,,,,0.002435002475976944,,,,,,,,,,,,0.002435002475976944,,,,,,,,,,,,,,,,,,,,,,,
3229.885781,,,-0.06,,,,,,,,9.0,,,,,,,0.0024009086191654205,,,,,,,,,,,,0.0024009086191654205,,,,,,,,,,,,,,,,,,,,,,,
3231.044289,,,-0.06,,,,,,,,7.0,,,,,,,0.002649083733558655,,,,,,,,,,,,0.002649083733558655,,,,,,,,,,,,,,,,,,,,,,,
3231.87513,,,-0.06,,,,,,,,7.0,,,,,,,0.0027374662458896637,,,,,,,,,,,,0.0027374662458896637,,,,,,,,,,,,,,,,,,,,,,,
3231.947131,,,-0.06,,,,,,,,6.0,,,,,,,0.0027374662458896637,,,,,,,,,,,,0.0027374662458896637,,,,,,,,,,,,,,,,,,,,,,,
3233.756176,,,-0.06,,,,,,,,4.0,,,,,,,0.002817150205373764,,,,,,,,,,,,0.002817150205373764,,,,,,,,,,,,,,,,,,,,,,,
3233.871176,,,-0.06,,,,,,,,4.0,,,,,,,0.0032439157366752625,,,,,,,,,,,,0.0032439157366752625,,,,,,,,,,,,,,,,,,,,,,,
3233.910176,,,-0.06,,,,,,,,3.0,,,,,,,0.0032439157366752625,,,,,,,,,,,,0.0032439157366752625,,,,,,,,,,,,,,,,,,,,,,,
3236.084814,,,-0.06,,,,,,,,74.0,,,,,,,0.00392170250415802,,,,,,,,,,,,0.00392170250415802,,,,,,,,,,,,,,,,,,,,,,,
3237.745218,,,-0.05,,,,,,,,121.0,,,,,,,0.007139910012483597,,,,,,,,,,,,0.007139910012483597,,,,,,,,,,,,,,,,,,,,,,,
3237.925218,,,-0.05,,,,,,,,126.0,,,,,,,0.0012750960886478424,,,,,,,,,,,,0.0012750960886478424,,,,,,,,,,,,,,,,,,,,,,,
3238.426348,,,-0.06,,,,,,,,131.0,,,,,,,0.003294326364994049,,,,,,,,,,,,0.003294326364994049,,,,,,,,,,,,,,,,,,,,,,,
3240.415686,,,-0.06,,,,,,,,133.0,,,,,,,0.003947678953409195,,,,,,,,,,,,0.003947678953409195,,,,,,,,,,,,,,,,,,,,,,,
3240.510686,,,-0.06,,,,,,,,129.0,,,,,,,0.003947678953409195,,,,,,,,,,,,0.003947678953409195,,,,,,,,,,,,,,,,,,,,,,,
