,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
3594262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594264,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.7999267578125,3167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594264,,,,,,,32767.0,14835.0,98.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594359,,,,,,,,,,,,,,,,,,,,,,0.013876285403966904,4.181778058409691e-05,,,,,,,,,,,-0.03419557958841324,0.00015059858560562134,,,,,,,,,,,,,,,,-1.5104562044143677,9.617861360311508e-05,,,,,
3594359,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594359,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
3594359,4793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594359,,,,0.22609466314315796,,,,,,,,,,,,,,,-86.0,0.7950557470321655,-1.959492802619934,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3594359,,0.0,-0.2199999988079071,,,,,,,0.0006542255869135261,,,,0.005192686803638935,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3594364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
3594364,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3594367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,-26,0,2,,,47,0,-1018,-40,0
3594367,,,,,,,,,,,,0.0,,,,,,,,,,,,1031.0999755859375,3167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594367,,,,,,,32767.0,14828.0,98.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594459,,,,,,,,,,,,,,,,,,,,,,0.013868019916117191,0.000550165306776762,,,,,,,,,,,-0.03421325609087944,-0.00019445642828941345,,,,,,,,,,,,,,,,-1.510487675666809,0.0001925397664308548,,,,,
3594459,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594459,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
3594459,4793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
