3780674,,,,,,,,,,,,,,,,,,,,,,0.003891730448231101,8.183438330888748e-05,,,,,,,,,,,-0.03505530208349228,0.0001404881477355957,,,,,,,,,,,,,,,,-0.27988940477371216,-0.000284731388092041,,,,,
3780674,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3780674,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,STANDBY,,,,,,,,,,,,,
3780674,4792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3780674,,,,0.0,,,,,,,,,,,,,,,-16.0,0.22297969460487366,-2.0085208415985107,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3780674,,0.0,-0.2199999988079071,,,,,,,-0.0019056441960856318,,,,0.007002593483775854,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3780679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
3780679,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,
3780681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,-26,0,17,,,40,0,-1019,-43,0
3780681,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.699951171875,2872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3780681,,,,,,,32767.0,14304.0,98.0,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781674,,,,,,,,,,,,,,,,,,,,,,0.003848862601444125,-0.0008664894849061966,,,,,,,,,,,-0.03505720943212509,-0.0003750249743461609,,,,,,,,,,,,,,,,-0.27969878911972046,0.00033360719680786133,,,,,
3781674,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781674,,,,,,0,,,,,,,0,,,,,ALT_HOLD,,,,,,,,,,,,,,,,,,,,,,,,,,STANDBY,,,,,,,,,,,,,
3781674,4800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3781674,,,,0.0,,,,,,,,,,,,,,,-16.0,0.22058002650737762,-2.0086488723754883,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
3781674,,0.0,-0.2199999988079071,,,,,,,-3.767543603316881e-05,,,,0.0060005090199410915,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
3781677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
