,Vcc,airspeed,alt,alt_error,altgps,armed,bat_temp,bat_voltage,battery %,climb,current,differential_pressure,ekf,groundspeed,heading,lat,lon,mode,nav_bearing,nav_pitch,nav_roll,pitch,pitchspeed,pressure,pressure_temperature,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,roll,rollspeed,servo1,servo2,servo3,servo4,servo5,servo6,servo7,servo8,state,throttle,wp_dist,xacc,xgyro,xmag,yacc,yaw,yawspeed,ygyro,ymag,zacc,zgyro,zmag
6870036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870134,,,,,,,,,,,,,,,,,,,,,,0.013606180436909199,-0.00013272464275360107,,,,,,,,,,,-0.03629114478826523,-0.0005944259464740753,,,,,,,,,,,,,,,,-1.5124515295028687,8.984468877315521e-06,,,,,
6870134,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870134,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6870134,4795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870134,,,,0.2196834683418274,,,,,,,,,,,,,,,-86.0,0.7795764803886414,-2.079329252243042,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6870134,,0.0,-0.20999999344348907,,,,,,,-0.0007274021627381444,,,,0.00026859427453018725,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2575169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6870137,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6870138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,-26,0,10,,,45,0,-1018,-43,0
6870138,,,,,,,,,,,,0.0,,,,,,,,,,,,1029.9000244140625,3171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870138,,,,,,,32767.0,14664.0,97.0,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870231,,,,,,,,,,,,,,,,,,,,,,0.013579873368144035,-0.0004057898186147213,,,,,,,,,,,-0.03626648336648941,6.952136754989624e-05,,,,,,,,,,,,,,,,-1.5124635696411133,0.00020520295947790146,,,,,
6870231,,,,,-210,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870231,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6870231,4798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870231,,,,0.2198963165283203,,,,,,,,,,,,,,,-86.0,0.7780693173408508,-2.0779166221618652,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6870231,,0.0,-0.20999999344348907,,,,,,,-0.0009481322485953569,,,,0.0001446550595574081,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2575267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,1500,1500,,,,,,,,,,,,,,
6870236,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1500,1500,1500,1500,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6870236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,-27,0,21,,,49,0,-1024,-37,0
6870237,,,,,,,,,,,,0.0,,,,,,,,,,,,1030.4000244140625,3171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870237,,,,,,,32767.0,14670.0,97.0,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870331,,,,,,,,,,,,,,,,,,,,,,0.013614139519631863,0.0004905839450657368,,,,,,,,,,,-0.036284975707530975,-0.0004438161849975586,,,,,,,,,,,,,,,,-1.5124925374984741,0.00017136428505182266,,,,,
6870331,,,,,-220,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870331,,,,,,0,,,,,,,0,,,,,MANUAL,,,,,,,,,,,,,,,,,,,,,,,,,,CRITICAL,,,,,,,,,,,,,
6870331,4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6870331,,,,0.22011129558086395,,,,,,,,,,,,,,,-86.0,0.7800324559211731,-2.0789756774902344,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
6870331,,0.0,-0.2199999988079071,,,,,,,-0.0006833308725617826,,,,0.000643524806946516,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
